user_id,university_id,email,password_hash,user_type,is_active,last_login,created_at
59,CS2022059,cs2022059@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-20T23:16:24.6800000,2025-10-02T23:12:38.0566667
60,CS2023060,cs2023060@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,0,2025-11-16T23:16:24.6800000,2025-02-27T23:12:38.0566667
61,CS2021061,cs2021061@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-23T23:16:24.6800000,2025-09-23T23:12:38.0566667
62,CS2024062,cs2024062@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,0,2025-11-28T23:16:24.6800000,2025-01-31T23:12:38.0566667
63,CS2024063,cs2024063@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,0,2025-11-12T23:16:24.6800000,2024-12-12T23:12:38.0566667
64,CS2024064,cs2024064@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-30T23:16:24.6800000,2025-11-07T23:12:38.0566667
65,CS2022065,cs2022065@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-17T23:16:24.6800000,2025-01-29T23:12:38.0566667
66,CS2023066,cs2023066@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-14T23:16:24.6800000,2025-09-11T23:12:38.0566667
67,CS2023067,cs2023067@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-17T23:16:24.6800000,2025-06-03T23:12:38.0566667
68,CS2021068,cs2021068@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-17T23:16:24.6800000,2025-08-26T23:12:38.0566667
69,CS2023069,cs2023069@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-19T23:16:24.6800000,2025-01-31T23:12:38.0566667
70,CS2021070,cs2021070@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-26T23:16:24.6800000,2025-04-10T23:12:38.0600000
71,CS2024071,cs2024071@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-06T23:16:24.6800000,2025-11-07T23:12:38.0600000
72,CS2024072,cs2024072@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-11T23:16:24.6800000,2024-12-09T23:12:38.0600000
73,CS2021073,cs2021073@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-12-02T23:16:24.6800000,2025-01-25T23:12:38.0600000
74,CS2022074,cs2022074@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-20T23:16:24.6800000,2025-02-18T23:12:38.0600000
75,CS2023075,cs2023075@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-26T23:16:24.6800000,2025-11-19T23:12:38.0600000
76,CS2021076,cs2021076@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-30T23:16:24.6800000,2025-07-08T23:12:38.0600000
77,CS2022077,cs2022077@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-07T23:16:24.6800000,2025-09-25T23:12:38.0600000
78,CS2023078,cs2023078@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-28T23:16:24.6800000,2025-07-06T23:12:38.0600000
79,CS2022079,cs2022079@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-10T23:16:24.6800000,2025-06-01T23:12:38.0666667
80,CS2024080,cs2024080@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-09T23:16:24.6800000,2025-02-22T23:12:38.0666667
81,CS2022081,cs2022081@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-23T23:16:24.6800000,2025-05-21T23:12:38.0666667
82,CS2022082,cs2022082@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-19T23:16:24.6800000,2025-01-11T23:12:38.0666667
83,CS2024083,cs2024083@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-20T23:16:24.6800000,2024-12-22T23:12:38.0666667
84,CS2022084,cs2022084@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-14T23:16:24.6800000,2025-09-08T23:12:38.0666667
85,CS2024085,cs2024085@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-23T23:16:24.6800000,2025-08-11T23:12:38.0666667
86,CS2024086,cs2024086@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-23T23:16:24.6800000,2024-12-30T23:12:38.0666667
87,CS2022087,cs2022087@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-10T23:16:24.6800000,2025-06-12T23:12:38.0666667
88,CS2021088,cs2021088@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-20T23:16:24.6800000,2025-03-02T23:12:38.0700000
89,CS2023089,cs2023089@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-27T23:16:24.6800000,2025-01-25T23:12:38.0700000
90,CS2022090,cs2022090@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-12-02T23:16:24.6800000,2025-04-22T23:12:38.0700000
91,CS2021091,cs2021091@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-22T23:16:24.6800000,2025-01-11T23:12:38.0700000
92,CS2024092,cs2024092@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,0,2025-11-29T23:16:24.6800000,2025-10-25T23:12:38.0700000
93,CS2023093,cs2023093@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-10T23:16:24.6800000,2025-04-11T23:12:38.0700000
94,CS2024094,cs2024094@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-22T23:16:24.6800000,2025-11-14T23:12:38.0700000
95,CS2022095,cs2022095@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-16T23:16:24.6800000,2025-06-20T23:12:38.0700000
96,CS2024096,cs2024096@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-12-02T23:16:24.6800000,2025-11-24T23:12:38.0700000
97,CS2024097,cs2024097@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-22T23:16:24.6800000,2025-08-19T23:12:38.0700000
98,CS2024098,cs2024098@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-12T23:16:24.6800000,2024-12-21T23:12:38.0700000
99,CS2021099,cs2021099@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-15T23:16:24.6800000,2025-04-24T23:12:38.0766667
100,CS2022100,cs2022100@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-09T23:16:24.6800000,2025-12-01T23:12:38.0766667
101,CS2023101,cs2023101@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,0,2025-11-16T23:16:24.6800000,2025-08-19T23:12:38.0766667
102,CS2022102,cs2022102@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-23T23:16:24.6800000,2025-04-23T23:12:38.0766667
103,CS2023103,cs2023103@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-08T23:16:24.6800000,2025-02-19T23:12:38.0766667
104,CS2021104,cs2021104@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-26T23:16:24.6800000,2025-06-25T23:12:38.0800000
105,CS2021105,cs2021105@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-21T23:16:24.6800000,2024-12-15T23:12:38.0800000
106,CS2024106,cs2024106@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-18T23:16:24.6800000,2025-10-15T23:12:38.0800000
107,CS2022107,cs2022107@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-28T23:16:24.6800000,2025-03-27T23:12:38.0800000
108,CS2023108,cs2023108@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,0,2025-11-18T23:16:24.6800000,2024-12-25T23:12:38.0800000
109,CS2023109,cs2023109@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-12T23:16:24.6800000,2025-07-13T23:12:38.0800000
110,CS2023110,cs2023110@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-25T23:16:24.6800000,2025-02-22T23:12:38.0800000
111,CS2022111,cs2022111@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-12T23:16:24.6800000,2025-03-24T23:12:38.0800000
112,CS2021112,cs2021112@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-24T23:16:24.6800000,2025-11-16T23:12:38.0800000
113,CS2023113,cs2023113@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-25T23:16:24.6800000,2025-05-02T23:12:38.0800000
114,CS2023114,cs2023114@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-12-04T23:16:24.6800000,2025-01-02T23:12:38.0800000
115,CS2023115,cs2023115@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-11T23:16:24.6800000,2025-05-05T23:12:38.0800000
116,CS2024116,cs2024116@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-12-02T23:16:24.6800000,2025-06-07T23:12:38.0800000
117,CS2024117,cs2024117@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-21T23:16:24.6800000,2025-07-29T23:12:38.0800000
118,CS2021118,cs2021118@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-12-02T23:16:24.6800000,2025-09-25T23:12:38.0866667
119,CS2023119,cs2023119@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-11T23:16:24.6800000,2025-09-20T23:12:38.0900000
120,CS2024120,cs2024120@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-23T23:16:24.6800000,2025-10-20T23:12:38.0900000
121,IS2023001,is2023001@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-12-02T23:16:24.6800000,2025-08-31T23:12:38.0900000
122,IS2023002,is2023002@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-19T23:16:24.6800000,2025-02-17T23:12:38.0900000
123,IS2022003,is2022003@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-12-01T23:16:24.6800000,2025-05-05T23:12:38.0900000
124,IS2024004,is2024004@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-30T23:16:24.6800000,2025-05-02T23:12:38.0900000
